,Player,Pick,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player,Bust
547,Victor Oladipo,2,SG,victor-oladipo,2013,1.211980125,0.160260293,0.429232385,0.174529059,0.235978263
548,Romero Osby,51,PF,romero-osby,2013,-1.367231132,0.0,0.014427001000000002,0.318924131,0.666648869
549,Aaron Gordon,4,PF,aaron-gordon,2014,0.8442044190000001,0.0966,0.4617,0.200033333,0.241666667
550,Tyler Harvey,51,SG,tyler-harvey,2015,-0.963286998,0.0,0.045680357000000005,0.485580914,0.46873872899999997
551,Brandan Wright,8,PF,brandan-wright,2007,0.019708441,0.011444142,0.302588556,0.44182561299999995,0.244141689
552,Jared Dudley,22,SF,jared-dudley,2007,-0.596161229,0.001211272,0.173232802,0.430848921,0.394707004
553,D.J. Augustin,9,PG,dj-augustin,2008,-0.88945043,0.006242151,0.178705528,0.215808665,0.5992436560000001
554,Kyle Weaver,38,PG,kyle-weaver,2008,-1.056623149,0.001547841,0.069087263,0.371474735,0.557890161
555,Gerald Henderson,12,SG,gerald-henderson,2009,-0.938424467,0.0018739639999999999,0.071148045,0.46802910299999995,0.45894888799999994
556,Derrick Brown,40,PF,derrick-brown,2009,-0.935704311,0.0,0.07034427,0.47737194200000005,0.45228378799999996
